index,id.orig_h,id.orig_p,id.resp_p,duration,orig_bytes,resp_bytes,orig_pkts,service_dhcp,service_dns,service_irc,conn_state_RSTR,conn_state_S1,history_CCC,history_CCCC,history_DdAtaFf,history_ShAD,history_ShADacdtfF,history_ShADad,history_ShADadf,history_ShADadtcfF,history_ShADadtctfF,history_ShADadtctfFR,history_ShADadttcfF,history_ShADadttfF,history_ShAdD,history_ShAdDa,history_ShAdDaft,history_ShAdDatf,history_ShAdDfr,history_ShAfdtDr,history_ShDadAf
7652,1,1.0,80,0.0004656489799617,0.00019575573153,0.0021333047043098,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21384,1,0.8851851284486588,80,0.0004656489799617,0.00019575573153,0.0021333047043098,5.421817393190197e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22940,1,0.8720109070298258,6667,0.0004656489799617,0.00019575573153,0.0021333047043098,5.421817393190197e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19935,1,1.0,80,0.0004656489799617,0.00019575573153,0.0021333047043098,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3506,1,0.8062317131083503,6667,6.391272629890732e-05,0.0,0.0,0.0001626545217957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14201,1,1.0,80,0.0004656489799617,0.00019575573153,0.0021333047043098,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16813,1,1.0,80,0.0004656489799617,0.00019575573153,0.0021333047043098,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9134,1,1.0,80,0.0004656489799617,0.00019575573153,0.0021333047043098,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21714,1,0.8518819222108182,6667,6.32747510094774e-05,0.0,0.0,0.0001626545217957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15448,1,1.0,80,0.0004656489799617,0.00019575573153,0.0021333047043098,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17242,1,1.0,80,0.0004656489799617,0.00019575573153,0.0021333047043098,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18337,1,1.0,80,0.0004656489799617,0.00019575573153,0.0021333047043098,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20506,1,1.0,80,0.0004656489799617,0.00019575573153,0.0021333047043098,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20112,1,1.0,80,0.0004656489799617,0.00019575573153,0.0021333047043098,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1851,1,0.7800977343402932,6667,0.0004656489799617,0.00019575573153,0.0021333047043098,5.421817393190197e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
707,1,0.7624504051839028,6667,6.427438719315528e-05,0.0,0.0,0.0001626545217957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6598,1,1.0,80,0.0004656489799617,0.00019575573153,0.0021333047043098,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21605,1,0.8501968473781767,6667,6.422863085238806e-05,0.0,0.0,0.0001626545217957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15571,1,1.0,80,0.0004656489799617,0.00019575573153,0.0021333047043098,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3688,1,0.8088052819436572,6667,0.0004656489799617,0.00019575573153,0.0021333047043098,5.421817393190197e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12145,1,1.0,80,0.0004656489799617,0.00019575573153,0.0021333047043098,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,1,0.63125967003171,80,0.0004656489799617,0.00019575573153,0.0021333047043098,5.421817393190197e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
362,1,0.754760336402212,6667,4.245018481954454e-05,9.795275563869008e-07,0.0014732202646926,0.0004337453914552,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5957,1,0.8300678625591691,6667,6.325923346419268e-05,0.0,0.0,0.0001626545217957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9670,1,1.0,80,0.0004656489799617,0.00019575573153,0.0021333047043098,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21715,1,0.851912559935048,6667,6.450374059602818e-05,0.0,0.0,0.0001626545217957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3687,1,0.8088052819436572,6667,6.294287971861158e-05,0.0,0.0,0.0001626545217957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4293,1,0.0018842200401354,123,0.0004656489799617,0.00019575573153,0.0021333047043098,5.421817393190197e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2931,1,0.7958761623186629,6667,6.324371591890794e-05,0.0,0.0,0.0001626545217957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21180,1,0.0018842200401354,123,0.0004656489799617,0.00019575573153,0.0021333047043098,5.421817393190197e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2377,1,0.7870831354646977,6667,6.419796328262799e-05,0.0,0.0,0.0001626545217957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
